titel,zugang,email,bildungsanbieter
Fachpraktiker/Fachpraktikerin für Holzverarbeitung,keine Angabe,bbw@bugenhagen.de,Bugenhagen Berufsbildungswerk Timmendorfer Strand
Grundkompetenzen: Mathematik 2,keine Angabe,schnittstelle@tertia.de,TERTIA Berufsförderung GmbH & Co. KG
Immobilienkaufmann - Vorbereitung auf die IHK-Prüfung,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",anfrage@comcave.com,COMCAVE.COLLEGE GmbH
"Vorbereitung auf eine Umschulung (kaufmännisch, Lagerlogistik, Schutz und Sicherheit) mit Schwerpunkt Textverarbeitung und Einführung in die Buchführung",<p>Vorausgesetzt werden Deutschkenntnisse auf dem Niveau Deutsch B2.</p><p>Allen Interessierten stehen wir in einem persönlichen Gespräch zur Abklärung ihrer individuellen Teilnahmevoraussetzungen zur Verfügung.</p>,kundencenter-kursnet@ibb.com,IBB Institut für Berufliche Bildung GmbH
"Vorbereitung auf eine Umschulung (kaufmännisch, Lagerlogistik, Schutz und Sicherheit) mit Schwerpunkt Sprachfestigung auf Englisch A2/ B1-Niveau",<p>Vorausgesetzt werden Deutschkenntnisse auf dem Sprachniveau B1.1.</p><p>Allen Interessierten stehen wir in einem persönlichen Gespräch zur Abklärung ihrer individuellen Teilnahmevoraussetzungen zur Verfügung.</p>,kundencenter-kursnet@ibb.com,IBB Institut für Berufliche Bildung GmbH
Fachinformatiker/-in Systemintegration (Rehabilitation),<p>Bei Zweifeln an der Eignung kann im Theodor-Schäfer-Berufsbildungswerk vor der Aufnahme eine individuelle Abklärung erfolgen.</p>,info@tsbw.de,Theodor-Schäfer- Berufsbildungswerk Husum
"Kauffrau, Kaufmann für Spedition- und Logistikdienstleistung - Vorbereitung auf die IHK-Prüfung","<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",anfrage@comcave.com,COMCAVE.COLLEGE GmbH
Erwerb von Grundkompetenzen - IT-Kompetenz (Microsoft Word - Textverarbeitung und Microsoft PowerPoint - Präsentationen),"<p>Bestimmte berufliche Vorkenntnisse oder Erfahrungen sind für eine Teilnahme nicht erforderlich. Um unser Angebot individuell auf Ihre Bedürfnisse zuschneiden zu können, führen wir mit Ihnen vorab ein persönliches Beratungsgespräch. Ausnahmeregelungen erfolgen in Abstimmung mit dem Jobcenter bzw. der Arbeitsagentur oder der optierenden Kommune.</p><p>Allen Interessierten stehen wir in einem persönlichen Gespräch zur Abklärung ihrer individuellen Teilnahmevoraussetzungen zur Verfügung.</p>",kundencenter-kursnet@ibb.com,IBB Institut für Berufliche Bildung GmbH
Grundkompetenzen IT - Vorbereitung auf eine digitale Weiterbildung,<p>- Interesse und Offenheit im Umgang mit EDV<br/>- gutes Sprachniveau (min. B2)</p>,info@bnw.de,Bildungswerk der Niedersächsischen Wirtschaft
"Kauffrau, Kaufmann für Groß- und Außenhandelsmanagement (Großhandel) - Vorbereitung auf die IHK-Prüfung","<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",anfrage@comcave.com,COMCAVE.COLLEGE GmbH
Fachinformatiker Anwendungsentwicklung - Vorbereitung auf die IHK-Prüfung,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",anfrage@comcave.com,COMCAVE.COLLEGE GmbH
Tourismuskaufmann - Vorbereitung auf die IHK-Prüfung,"<ul><li> Die Zulassung zur IHK-Abschlussprüfung muss vorliegen.</li><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",anfrage@comcave.com,COMCAVE.COLLEGE GmbH
Grundkompetenzen IT - Vorbereitung auf eine digitale Weiterbildung,<p>- Interesse und Offenheit im Umgang mit EDV<br/>- gutes Sprachniveau (min. B2)</p>,mainz@faw.de,faw Mainz
Fachpraktiker/-in für Holzverarbeitung,<p>Zugang nur über Berufsberater der Agentur für Arbeit oder über andere Reha-Träger</p>,aufnahme.offenburg@cjd.de,CJD Offenburg
Erwerb von Grundkompetenzen - IT-Kompetenz (Microsoft Word - Textverarbeitung und Microsoft PowerPoint - Präsentationen),"<p>Bestimmte berufliche Vorkenntnisse oder Erfahrungen sind für eine Teilnahme nicht erforderlich. Um unser Angebot individuell auf Ihre Bedürfnisse zuschneiden zu können, führen wir mit Ihnen vorab ein persönliches Beratungsgespräch. Ausnahmeregelungen erfolgen in Abstimmung mit dem Jobcenter bzw. der Arbeitsagentur oder der optierenden Kommune.</p>",beratung@bfz.de,Berufliche Fortbildungszentren der Bayerischen Wirtschaft (bfz) gGmbH
"Vorbereitung auf eine Umschulung (kaufmännisch, Lagerlogistik, Schutz und Sicherheit) mit Schwerpunkt Textverarbeitung und Einführung in die Buchführung",<p>Vorausgesetzt werden Deutschkenntnisse auf dem Niveau Deutsch B2.</p><p>Allen Interessierten stehen wir in einem persönlichen Gespräch zur Abklärung ihrer individuellen Teilnahmevoraussetzungen zur Verfügung.</p>,kundencenter-kursnet@ibb.com,IBB Institut für Berufliche Bildung GmbH
"Seniorenbetreuer:in - Aufbaukurs für Betreuungskraft nach §§ 43b, 53b SGB XI","<p>Dieses Modul setzt eine abgeschlossene Weiterbildung als Betreuungskraft gemäß§§ 43b, 53b SGB XI voraus.</p><p>Allen Interessierten stehen wir in einem persönlichen Gespräch zur Abklärung ihrer individuellen Teilnahmevoraussetzungen zur Verfügung.</p>",kundencenter-kursnet@ibb.com,IBB Institut für Berufliche Bildung GmbH
Erwerb von Grundkompetenzen - IT-Kompetenz (Microsoft Word - Textverarbeitung und Microsoft PowerPoint - Präsentationen),"<p>Bestimmte berufliche Vorkenntnisse oder Erfahrungen sind für eine Teilnahme nicht erforderlich. Um unser Angebot individuell auf Ihre Bedürfnisse zuschneiden zu können, führen wir mit Ihnen vorab ein persönliches Beratungsgespräch. Ausnahmeregelungen erfolgen in Abstimmung mit dem Jobcenter bzw. der Arbeitsagentur oder der optierenden Kommune.</p>",beratung@bfz.de,Berufliche Fortbildungszentren der Bayerischen Wirtschaft (bfz) gGmbH
"Vorbereitung auf eine Umschulung (kaufmännisch, Lagerlogistik, Schutz und Sicherheit) mit Schwerpunkt EDV und Einführung in die Buchführung",<p>Vorausgesetzt werden Deutschkenntnisse auf dem Niveau Deutsch B2.</p><p>Allen Interessierten stehen wir in einem persönlichen Gespräch zur Abklärung ihrer individuellen Teilnahmevoraussetzungen zur Verfügung.</p>,kundencenter-kursnet@ibb.com,IBB Institut für Berufliche Bildung GmbH
Vorbereitungskurs kaufmännische / betriebswirtschaftliche Umschulung inkl. Eignungsfeststellung,"<ul><li> Deutsch in Wort und Schrift.</li><li> Persönliches Eignungsgespräch im Rahmen der Fachberatung.</li></ul><p>Ausnahmen sind in Absprache mit COMCAVE und dem jeweiligen Kostenträger, zum Beispiel der Agentur für Arbeit oder dem Jobcenter, möglich. Des Weiteren gelten die Zugangsvoraussetzungen des Kostenträgers.</p>",anfrage@comcave.com,COMCAVE.COLLEGE GmbH
